Trap,any_positive,avg_mosq_per_obs,n_obs,percent_pos,neighbor_mosq_score,neighbor_onehot_score,neighbor_posrate_score
T218A,0,0,0,0,0.036898998,0.017215707,0.034431414
T218B,0,0,0,0,0.015227644,0.007104655,0.014209311
T218C,0,0,0,0,0.007262095,0.008714514,0.002420698
T219,0,4.166666667,12,0,0.007331174,0.006854822,0.004647337
T220,1,10.69491525,59,0.06779661,0.002856176,0,0
T221,1,33.98,50,0.18,0,0,0
T222,1,8.333333333,36,0.027777778,0,0,0
T223,1,32.025,40,0.225,0.017687109,0.006802734,0.019436384
T224,1,8.352941176,34,0.029411765,0,0,0
T225,1,49.12195122,41,0.268292683,0,0,0
T226,1,24.94117647,34,0.117647059,0.011647916,0.007051429,0.010446562
T227,1,31.86486486,37,0.108108108,0.005050287,0.008657635,0.007214696
T228,1,21.43333333,30,0.2,0,0,0
T229,0,4.666666667,6,0,0,0,0
T230,1,15.70731707,41,0.170731707,0.019419071,0,0
T231,1,21.70833333,24,0.166666667,0.001850673,0,0
T232,1,9.225806452,31,0.064516129,0.021659754,0.009873392,0.018512611
T233,1,30.32,25,0.28,0.070742965,0.02505654,0.05846526
T234,0,0,0,0,0.004569324,0.008224784,0.018277297
T235,1,17.96774194,31,0.225806452,0,0,0
T236,1,19.73684211,19,0.052631579,0.037043692,0,0
T237,0,6,3,0,0.00233188,0,0
T238,0,11.33333333,3,0,0.003730161,0,0
T900,1,284.9259259,54,1.222222222,0,0,0
T903,1,48.47916667,48,0.208333333,0,0,0
