InputID,TargetID,Distance
T007,T054C,13632.94477
T007,T094B,31738.41772
T007,T065A,24193.50297
T007,T227,32732.68437
T007,T225,28120.31544
T007,T223,3782.94424
T007,T222,7980.84024
T007,T230,10143.86663
T007,T229,28904.65811
T007,T226,24298.59984
T007,T224,9689.32131
T007,T232,12420.54824
T007,T231,8594.98275
T007,T035,25783.71065
T007,T228,6030.96007
T007,T234,5887.99465
T007,T233,3556.19801
T007,T002B,5065.81951
T007,T002A,3433.08966
T007,T221,41936.93302
T007,T157,20580.93042
T007,T156,24792.47394
T007,T027,3564.13396
T007,T090A,35091.99759
T007,T903,14024.87249
T007,T900,10304.38639
T007,T009,7769.70946
T007,T128A,33031.69948
T007,T200A,34490.59925
T007,T090C,36768.54638
T007,T090B,16643.20078
T007,T218B,5681.61821
T007,T218C,7277.63642
T007,T218A,5484.67208
T007,T200B,42999.20281
T007,T206,34256.66644
T007,T200,39229.28951
T007,T138,33506.04908
T007,T115,38390.30371
T007,T107,33293.00449
T007,T215,39552.38934
T007,T212,39933.28196
T007,T209,33762.70338
T007,T097,41254.51061
T007,T078,26194.98660
T007,T072,28000.65826
T007,T128,36420.11850
T007,T103,37782.57014
T007,T102,30377.04590
T007,T100,36572.36524
T007,T099,34024.30278
T007,T073,28321.58197
T007,T071,23729.08802
T007,T070,22050.32665
T007,T069,26268.85708
T007,T077,28410.85760
T007,T076,25619.03150
T007,T075,26554.50910
T007,T074,20972.17436
T007,T082,23719.02200
T007,T081,22556.05504
T007,T080,29680.12358
T007,T079,30647.23111
T007,T063,19144.41037
T007,T155,24318.87356
T007,T114,21968.05545
T007,T083,30566.96264
T007,T017,3873.45482
T007,T005,5903.01750
T007,T160,12227.73442
T007,T144,6449.77851
T007,T035,19157.65022
T007,T004,3980.28002
T007,T095,32738.20766
T007,T044,13501.88677
T007,T061,22780.85167
T007,T060,20531.84557
T007,T039,9888.30726
T007,T036,17847.84604
T007,T067,26246.45742
T007,T066,25407.31470
T007,T065,24108.68631
T007,T062,22095.13106
T007,T040,16332.15296
T007,T037,8474.79192
T007,T034,18133.54916
T007,T012,1879.07263
T007,T085,32004.02072
T015,T051,19889.13540
T015,T047,15880.23282
T015,T043,16851.58811
T015,T013,6481.81153
T015,T219,12469.08203
T015,T161,30935.16833
T015,T088,15799.38473
T015,T084,36470.42899
T015,T030,12222.51359
T015,T018,14069.72269
T015,T014,3081.55398
T015,T149,13211.93667
T015,T147,11342.04029
T015,T146,10284.26385
T015,T145,19372.49326
T015,T154,8599.87410
T015,T152,16830.64327
T015,T151,6730.63763
T015,T150,12863.21154
T015,T220,11081.53422
T015,T218,8316.07834
T015,T162,32679.86757
T015,T158,33800.49957
T015,T008,5435.38373
T015,T006,2914.78614
T015,T003,5674.24517
T015,T001,7863.60875
T015,T011,3311.78310
T015,T009,1322.86214
T015,T159,30475.72158
T015,T153,9086.06657
T015,T028,11281.12239
T015,T025,6149.08549
T015,T019,10815.47747
T015,T016,4309.63938
T015,T090,17613.36335
T015,T089,31423.34687
T015,T033,12681.25442
T015,T031,19835.32448
T015,T142,4614.92112
T015,T141,5538.99768
T015,T135,35648.40019
T015,T092,20084.92067
T015,T045,14367.07779
T015,T007,5154.19507
T015,T002,2922.71513
T015,T050,12416.34635
T015,T049,16507.30905
T015,T048,18478.23558
T015,T046,16866.30841
T015,T094,31065.69876
T015,T091,19163.82821
T015,T086,34041.29812
T015,T054,16996.27180
T015,T148,12332.92939
T015,T143,3687.63673
T015,T129,19942.95447
T015,T096,29548.57976
T015,T238,26380.77326
T015,T237,28245.24031
T015,T236,5018.92145
T015,T235,27410.85347
T015,T054C,16743.17016
T015,T094B,31115.20430
T015,T065A,22700.46324
T015,T227,33009.63195
T015,T225,26770.08931
T015,T223,1637.20486
T015,T222,8472.23712
T015,T230,9627.58415
T015,T229,28925.71255
T015,T226,24522.83059
T015,T224,13058.35763
T015,T232,14686.26762
T015,T231,13237.02889
T015,T035,24348.27488
T015,T228,8629.60287
T015,T234,6311.32364
T015,T233,4232.37365
T015,T002B,3845.18862
T015,T002A,3674.13826
T015,T221,42297.66076
T015,T157,20990.55672
T015,T156,23433.74051
T015,T027,8071.06552
T015,T090A,34455.48081
T015,T903,8985.83329
T015,T900,5454.17252
T015,T009,3766.12286
T015,T128A,33763.12893
T015,T200A,35351.95701
T015,T090C,36115.56333
T015,T090B,17907.43588
T015,T218B,7490.08880
T015,T218C,8454.55129
T015,T218A,8075.99646
T015,T200B,43231.70949
T015,T206,35220.70503
T015,T200,39541.09751
T015,T138,33937.25863
T015,T115,38269.92125
T015,T107,33782.11574
T015,T215,40176.91002
T015,T212,40483.65593
T015,T209,34728.09321
T015,T097,40918.95158
T015,T078,26203.27910
T015,T072,27096.31185
T015,T128,36870.25540
T015,T103,38496.01133
T015,T102,30804.98615
T015,T100,37461.64365
T015,T099,34833.09833
T015,T073,29040.26597
T015,T071,21772.06565
T015,T070,19727.64746
T015,T069,25869.42236
T015,T077,29365.12355
T015,T076,26401.81614
T015,T075,27776.44488
T015,T074,21360.56052
T015,T082,24229.85273
T015,T081,23541.86236
T015,T080,30056.46570
T015,T079,31717.26927
T015,T063,18397.39200
T015,T155,22311.72296
T015,T114,20804.93981
T015,T083,31202.47778
T015,T017,4221.39588
T015,T005,5360.19728
T015,T160,13804.56982
T015,T144,4511.32650
T015,T035,19544.42974
T015,T004,6460.65650
T015,T095,31603.69644
T015,T044,14154.74325
T015,T061,22680.20848
T015,T060,20713.58234
T015,T039,10675.85219
T015,T036,17153.63647
T015,T067,24741.31935
T015,T066,24651.64727
T015,T065,22561.76591
T015,T062,21414.30809
T015,T040,16053.30149
T015,T037,6369.72762
T015,T034,18454.87936
T015,T012,6721.11020
T015,T085,31666.19398
T045,T051,8403.25990
T045,T047,6432.90638
T045,T043,7513.87560
T045,T013,9860.76080
T045,T219,5087.54819
T045,T161,22507.52656
T045,T088,6334.23565
T045,T084,26052.95562
T045,T030,4859.75033
T045,T018,9870.82767
T045,T014,11435.45857
T045,T149,8094.55734
T045,T147,3026.08142
T045,T146,5055.86396
T045,T145,5708.13260
T045,T154,7131.33905
T045,T152,9353.32520
T045,T151,11137.63256
T045,T150,9502.53167
T045,T220,5155.63812
T045,T218,6091.24766
T045,T162,22206.00075
T045,T158,26770.02557
T045,T008,13347.05418
T045,T006,13250.56738
T045,T003,8922.62656
T045,T001,6638.30016
T045,T011,14033.37313
T045,T009,13865.45895
T045,T159,20996.50184
T045,T153,7986.61808
T045,T028,7508.66965
T045,T025,9490.26743
T045,T019,4108.44241
T045,T016,15637.19815
T045,T090,5944.65017
T045,T089,22079.85804
T045,T033,3344.05428
T045,T031,15581.07162
T045,T142,9795.59520
T045,T141,8952.68817
T045,T135,29234.92950
T045,T092,6653.10485
T045,T015,14367.07779
T045,T007,11795.17236
T045,T002,11747.28992
T045,T050,2320.56328
T045,T049,2962.39720
T045,T048,6136.78181
T045,T046,3527.90012
T045,T094,22297.29503
T045,T091,6747.43907
T045,T086,25924.31769
T045,T054,2850.53185
T045,T148,10789.80298
T045,T143,13739.54599
T045,T129,5674.13530
T045,T096,21087.76869
T045,T238,18990.05049
T045,T237,20434.88475
T045,T236,11869.04611
T045,T235,16451.90049
T045,T054C,2762.59944
T045,T094B,22488.65651
T045,T065A,17397.12836
T045,T227,22126.92537
T045,T225,20515.71675
T045,T223,12874.96837
T045,T222,6642.24382
T045,T230,7689.78135
T045,T229,18811.38073
T045,T226,14228.81715
T045,T224,2876.93909
T045,T232,1012.82312
T045,T231,7295.30320
T045,T035,18631.96622
T045,T228,5910.19161
T045,T234,8229.48380
T045,T233,15245.74763
T045,T002B,10723.54956
T045,T002A,10753.23689
T045,T221,31028.45945
T045,T157,10630.09601
T045,T156,17615.55300
T045,T027,8703.54832
T045,T090A,25689.23598
T045,T903,22303.43520
T045,T900,19499.87270
T045,T009,18096.67512
T045,T128A,21919.87311
T045,T200A,23232.56822
T045,T090C,27320.16086
T045,T090B,5908.05092
T045,T218B,6881.74296
T045,T218C,6117.72339
T045,T218A,6490.98050
T045,T200B,32208.18478
T045,T206,22917.59810
T045,T200,28418.65708
T045,T138,22695.78845
T045,T115,28116.39117
T045,T107,22424.33761
T045,T215,28424.84484
T045,T212,28868.91318
T045,T209,22430.21791
T045,T097,31193.09097
T045,T078,16303.39286
T045,T072,19532.17686
T045,T128,25518.57532
T045,T103,26601.10111
T045,T102,19671.38386
T045,T100,25259.77904
T045,T099,22820.50457
T045,T073,17356.95488
T045,T071,18055.05321
T045,T070,17570.95485
T045,T069,17047.21480
T045,T077,17201.80145
T045,T076,14695.91086
T045,T075,15158.22924
T045,T074,11002.67725
T045,T082,13270.18435
T045,T081,11563.37917
T045,T080,19065.52049
T045,T079,19284.57803
T045,T063,11771.29693
T045,T155,18660.37128
T045,T114,14848.18276
T045,T083,19617.52626
T045,T017,10154.68932
T045,T005,9398.59045
T045,T160,2746.85271
T045,T144,10851.30576
T045,T035,9483.00723
T045,T004,8186.50464
T045,T095,24329.11218
T045,T044,5328.26025
T045,T061,13418.60449
T045,T060,10989.63460
T045,T039,5118.18491
T045,T036,10742.19312
T045,T067,19182.76995
T045,T066,16928.99815
T045,T065,17443.91592
T045,T062,13943.89167
T045,T040,8850.01513
T045,T037,10678.59603
T045,T034,8803.13368
T045,T012,10241.01014
T045,T085,22280.85039
T046,T051,4984.46247
T046,T047,4306.03825
T046,T043,5032.96540
T046,T013,11441.39457
T046,T219,8591.80357
T046,T161,19187.14169
T046,T088,4244.39892
T046,T084,22534.35846
T046,T030,5247.95105
T046,T018,13264.99182
T046,T014,14136.84662
T046,T149,11531.77344
T046,T147,5919.42235
T046,T146,8457.79006
T046,T145,2507.52039
T046,T154,8677.30807
T046,T152,7166.09469
T046,T151,12434.75377
T046,T150,12977.72970
T046,T220,8664.51559
T046,T218,8951.01244
T046,T162,18694.46287
T046,T158,23584.03855
T046,T008,16558.14074
T046,T006,16162.50577
T046,T003,11796.62648
T046,T001,9580.28601
T046,T011,15948.33001
T046,T009,16560.28158
T046,T159,17569.17488
T046,T153,9018.07003
T046,T028,11035.83207
T046,T025,12640.54361
T046,T019,7471.80259
T046,T016,18670.17030
T046,T090,2758.62236
T046,T089,18655.68961
T046,T033,4259.56511
T046,T031,13450.86349
T046,T142,12258.37116
T046,T141,11756.68328
T046,T135,26106.24921
T046,T092,3303.57853
T046,T045,3527.90012
T046,T015,16866.30841
T046,T007,14957.05628
T046,T002,14054.64698
T046,T050,4551.23724
T046,T049,576.40827
T046,T048,2666.90737
T046,T094,18936.02184
T046,T091,3236.09827
T046,T086,22600.43197
T046,T054,3898.14832
T046,T148,14298.31544
T046,T143,16757.75223
T046,T129,3562.83986
T046,T096,17785.44733
T046,T238,15916.46521
T046,T237,17246.01181
T046,T236,15016.53121
T046,T235,12940.20844
T046,T054C,4209.09624
T046,T094B,19142.63424
T046,T065A,14851.01513
T046,T227,18601.80317
T046,T225,17608.93599
T046,T223,15503.78939
T046,T222,8512.07474
T046,T230,8560.90331
T046,T229,15343.90903
T046,T226,10807.15453
T046,T224,6389.24984
T046,T232,2633.81046
T046,T231,10723.77894
T046,T035,15918.95462
T046,T228,8933.03183
T046,T234,10556.39841
T046,T233,18289.16778
T046,T002B,13056.45299
T046,T002A,13423.89764
T046,T221,27508.92703
T046,T157,7328.21761
T046,T156,14934.90993
T046,T027,12081.12493
T046,T090A,22292.51560
T046,T903,24101.46413
T046,T900,21671.74131
T046,T009,20632.41154
T046,T128A,18412.47621
T046,T200A,19751.76608
T046,T090C,23907.78403
T046,T090B,2578.32975
T046,T218B,9602.84683
T046,T218C,8414.33676
T046,T218A,9494.41514
T046,T200B,28683.10321
T046,T206,19456.34052
T046,T200,24893.10064
T046,T138,19168.45355
T046,T115,24603.63159
T046,T107,18898.41841
T046,T215,24926.25242
T046,T212,25362.31532
T046,T209,18966.46828
T046,T097,27693.29979
T046,T078,12892.10251
T046,T072,16409.74948
T046,T128,21995.73682
T046,T103,23109.38723
T046,T102,16144.68448
T046,T100,21794.35847
T046,T099,19328.42059
T046,T073,13831.65939
T046,T071,15849.84902
T046,T070,15801.60093
T046,T069,13778.57289
T046,T077,13701.62632
T046,T076,11168.05188
T046,T075,11700.13648
T046,T074,7680.50661
T046,T082,9787.65614
T046,T081,8035.51585
T046,T080,15542.92538
T046,T079,15824.51984
T046,T063,9420.46457
T046,T155,16428.20542
T046,T114,12333.47149
T046,T083,16093.31505
T046,T017,12773.94305
T046,T005,11590.60124
T046,T160,3098.24280
T046,T144,12859.04790
T046,T035,6351.57638
T046,T004,11131.03553
T046,T095,21145.50147
T046,T044,4288.16144
T046,T061,10202.46970
T046,T060,7815.40724
T046,T039,6420.94630
T046,T036,8641.51340
T046,T067,16477.10808
T046,T066,13868.05237
T046,T065,14939.25107
T046,T062,11112.57580
T046,T040,6909.04164
T046,T037,12141.47960
T046,T034,5898.32308
T046,T012,13532.52440
T046,T085,18850.51954
T048,T051,2324.35614
T048,T047,3492.95967
T048,T043,3552.75354
T048,T013,12564.75123
T048,T219,11222.93061
T048,T161,16535.04923
T048,T088,3499.77684
T048,T084,19926.78797
T048,T030,6300.76432
T048,T018,15930.17708
T048,T014,15949.38096
T048,T149,14190.49721
T048,T147,8160.77218
T048,T146,10890.91260
T048,T145,2366.95365
T048,T154,9956.97339
T048,T152,5658.37100
T048,T151,13312.88092
T048,T150,15626.29542
T048,T220,11202.31832
T048,T218,11014.92498
T048,T162,16073.18946
T048,T158,20976.00633
T048,T008,18740.53260
T048,T006,18101.53052
T048,T003,13784.08564
T048,T001,11673.87440
T048,T011,17147.84474
T048,T009,18325.48419
T048,T159,14902.60092
T048,T153,9932.54962
T048,T028,13630.47530
T048,T025,14814.91938
T048,T019,9893.90500
T048,T016,20681.12325
T048,T090,1058.22143
T048,T089,15988.99728
T048,T033,5884.79635
T048,T031,11635.42242
T048,T142,13948.95491
T048,T141,13696.33264
T048,T135,23520.16908
T048,T092,2225.72750
T048,T045,6136.78181
T048,T015,18478.23558
T048,T007,17112.00428
T048,T002,15585.41643
T048,T050,6685.51062
T048,T049,3241.02512
T048,T046,2666.90737
T048,T094,16274.52386
T048,T091,696.17048
T048,T086,19945.85377
T048,T054,6364.11092
T048,T148,16926.57833
T048,T143,18774.90592
T048,T129,4433.64062
T048,T096,15139.71818
T048,T238,13381.28527
T048,T237,14646.45351
T048,T236,17158.86655
T048,T235,10320.76397
T048,T054C,6723.71497
T048,T094B,16484.17628
T048,T065A,12682.44310
T048,T227,16019.06715
T048,T225,15165.06817
T048,T223,17236.66130
T048,T222,10006.03619
T048,T230,9410.05623
T048,T229,12685.17654
T048,T226,8140.31981
T048,T224,9013.27592
T048,T232,5177.02638
T048,T231,13383.64764
T048,T035,13616.39616
T048,T228,11098.46107
T048,T234,12218.27392
T048,T233,20312.29231
T048,T002B,14633.05021
T048,T002A,15229.39536
T048,T221,25020.25081
T048,T157,4714.70195
T048,T156,12666.40517
T048,T027,14451.93968
T048,T090A,19626.07302
T048,T903,25074.28935
T048,T900,22963.14587
T048,T009,22220.32343
T048,T128A,15983.18483
T048,T200A,17394.64539
T048,T090C,21240.88230
T048,T090B,635.89335
T048,T218B,11555.59632
T048,T218C,10170.50004
T048,T218A,11630.24417
T048,T200B,26164.13329
T048,T206,17146.61418
T048,T200,22373.23657
T048,T138,16635.84892
T048,T115,21983.70427
T048,T107,16381.83612
T048,T215,22510.76252
T048,T212,22922.60751
T048,T209,16652.98680
T048,T097,25056.30916
T048,T078,10225.52542
T048,T072,13845.73252
T048,T128,19496.18164
T048,T103,20715.77261
T048,T102,13575.05262
T048,T100,19467.46625
T048,T099,16942.98032
T048,T073,11330.93610
T048,T071,13922.51498
T048,T070,14212.68136
T048,T069,11151.10210
T048,T077,11315.32347
T048,T076,8638.61320
T048,T075,9452.72911
T048,T074,5051.70243
T048,T082,7135.39915
T048,T081,5512.55351
T048,T080,12950.54600
T048,T079,13535.31273
T048,T063,7571.69996
T048,T155,14470.62983
T048,T114,10237.22863
T048,T083,13594.89969
T048,T017,14558.63134
T048,T005,13120.71486
T048,T160,4886.50915
T048,T144,14215.91955
T048,T035,3907.48436
T048,T004,13183.58330
T048,T095,18541.46010
T048,T044,4588.14458
T048,T061,7616.84077
T048,T060,5288.11040
T048,T039,7802.95418
T048,T036,7076.27187
T048,T067,14174.17947
T048,T066,11351.36825
T048,T065,12800.31513
T048,T062,8791.03437
T048,T040,5684.34245
T048,T037,13149.52968
T048,T034,3741.46384
T048,T012,15812.43713
T048,T085,16184.23231
T049,T051,5555.29025
T049,T047,4623.08843
T049,T043,5435.26717
T049,T013,11213.50371
T049,T219,8017.85718
T049,T161,19752.81074
T049,T088,4552.16532
T049,T084,23107.94691
T049,T030,5118.94669
T049,T018,12689.63020
T049,T014,13738.23698
T049,T149,10955.40454
T049,T147,5448.82523
T049,T146,7926.30443
T049,T145,2920.21562
T049,T154,8432.85942
T049,T152,7535.80397
T049,T151,12257.79925
T049,T150,12401.60171
T049,T220,8108.57820
T049,T218,8509.41435
T049,T162,19269.37008
T049,T158,24135.85207
T049,T008,16072.32776
T049,T006,15731.21575
T049,T003,11363.41279
T049,T001,9128.73547
T049,T011,15684.54787
T049,T009,16167.37949
T049,T159,18143.62592
T049,T153,8857.92183
T049,T028,10467.33048
T049,T025,12161.80566
T049,T019,6945.24881
T049,T016,18219.69236
T049,T090,3278.56257
T049,T089,19230.00351
T049,T033,4002.57859
T049,T031,13840.14069
T049,T142,11893.65260
T049,T141,11334.88358
T049,T135,26651.77778
T049,T092,3782.62841
T049,T045,2962.39720
T049,T015,16507.30905
T049,T007,14479.15431
T049,T002,13721.08455
T049,T050,4128.81007
T049,T048,3241.02512
T049,T046,576.40827
T049,T094,19505.51525
T049,T091,3812.14927
T049,T086,23166.86235
T049,T054,3439.19066
T049,T148,13724.19225
T049,T143,16308.16248
T049,T129,3668.97269
T049,T096,18349.04037
T049,T238,16451.72363
T049,T237,17796.56216
T049,T236,14541.36706
T049,T235,13515.25901
T049,T054C,3723.59768
T049,T094B,19710.76403
T049,T065A,15308.64669
T049,T227,19173.12101
T049,T225,18122.48068
T049,T223,15120.27647
T049,T222,8216.32012
T049,T230,8421.13182
T049,T229,15920.11273
T049,T226,11380.56350
T049,T224,5817.04787
T049,T232,2097.92130
T049,T231,10147.46011
T049,T035,16403.13585
T049,T228,8466.13429
T049,T234,10205.76777
T049,T233,17836.43167
T049,T002B,12715.55374
T049,T002A,13028.72038
T049,T221,28067.56916
T049,T157,7886.84399
T049,T156,15413.10203
T049,T027,11558.60258
T049,T090A,22865.15708
T049,T903,23871.85771
T049,T900,21375.73999
T049,T009,20272.58898
T049,T128A,18964.55379
T049,T200A,20293.05391
T049,T090C,24481.57922
T049,T090B,3127.80418
T049,T218B,9185.90527
T049,T218C,8053.55307
T049,T218A,9032.78822
T049,T200B,29245.80431
T049,T206,19990.70442
T049,T200,25456.26015
T049,T138,19733.94745
T049,T115,25178.27295
T049,T107,19461.96448
T049,T215,25474.73000
T049,T212,25914.25809
T049,T209,19501.62419
T049,T097,28269.15611
T049,T078,13465.03178
T049,T072,16951.65063
T049,T128,22556.56601
T049,T103,23655.02932
T049,T102,16714.88190
T049,T100,22330.37699
T049,T099,19873.98946
T049,T073,14394.55777
T049,T071,16256.13895
T049,T070,16138.51239
T049,T069,14337.34913
T049,T077,14250.10650
T049,T076,11735.21782
T049,T075,12231.91390
T049,T074,8242.13021
T049,T082,10364.04307
T049,T081,8603.90646
T049,T080,16115.49616
T049,T079,16357.95339
T049,T063,9832.58300
T049,T155,16839.68539
T049,T114,12781.59467
T049,T083,16655.21211
T049,T017,12385.46341
T049,T005,11266.43938
T049,T160,2841.47062
T049,T144,12569.91433
T049,T035,6882.83535
T049,T004,10684.30273
T049,T095,21696.52864
T049,T044,4381.96198
T049,T061,10752.59146
T049,T060,8356.66351
T049,T039,6179.50331
T049,T036,9006.65025
T049,T067,16960.78939
T049,T066,14400.24060
T049,T065,15390.64483
T049,T062,11607.78573
T049,T040,7231.56578
T049,T037,11936.34414
T049,T034,6388.74080
T049,T012,13028.54368
T049,T085,19425.21180
T050,T051,8686.86735
T050,T047,5689.29236
T050,T043,6880.01173
T050,T013,7566.96050
T050,T219,5536.04333
T050,T161,22302.00096
T050,T088,5581.65077
T050,T084,26407.33453
T050,T030,2912.62411
T050,T018,10459.94933
T050,T014,9611.67337
T050,T149,8629.66474
T050,T147,1497.26078
T050,T146,4378.60932
T050,T145,7041.55931
T050,T154,4817.74659
T050,T152,8340.88808
T050,T151,8821.63456
T050,T150,9839.24374
T050,T220,4962.42161
T050,T218,4403.16706
T050,T162,22530.22168
T050,T158,26320.35959
T050,T008,12072.84854
T050,T006,11611.54574
T050,T003,7245.38925
T050,T001,5040.91439
T050,T011,11831.84719
T050,T009,12042.81336
T050,T159,21028.28523
T050,T153,5678.26270
T050,T028,7515.45572
T050,T025,8145.71812
T050,T019,3404.45238
T050,T016,14123.77790
T050,T090,6129.56195
T050,T089,22094.90926
T050,T033,1530.90274
T050,T031,14292.87084
T050,T142,7802.76345
T050,T141,7208.54329
T050,T135,28692.56115
T050,T092,7850.45345
T050,T045,2320.56328
T050,T015,12416.34635
T050,T007,10454.08979
T050,T002,9683.15257
T050,T049,4128.81007
T050,T048,6685.51062
T050,T046,4551.23724
T050,T094,22170.83123
T050,T091,7372.19761
T050,T086,25700.68740
T050,T054,5165.49212
T050,T148,10908.39167
T050,T143,12211.21946
T050,T129,7543.44703
T050,T096,20863.17827
T050,T238,18464.32142
T050,T237,20041.70451
T050,T236,10507.11460
T050,T235,16824.45827
T050,T054C,5081.21842
T050,T094B,22330.82002
T050,T065A,16380.17989
T050,T227,22569.36841
T050,T225,19784.21733
T050,T223,11002.49536
T050,T222,4372.15246
T050,T230,5404.19956
T050,T229,18976.50299
T050,T226,14332.34089
T050,T224,3629.34088
T050,T232,2301.08868
T050,T231,7899.92568
T050,T035,17738.21261
T050,T228,4424.91241
T050,T234,6148.77073
T050,T233,13744.49549
T050,T002B,8665.94336
T050,T002A,8903.98857
T050,T221,31664.46106
T050,T157,10607.84916
T050,T156,16708.81191
T050,T027,7806.11861
T050,T090A,25614.58302
T050,T903,20091.49408
T050,T900,17403.28957
T050,T009,16176.84259
T050,T128A,22662.07795
T050,T200A,24079.91549
T050,T090C,27273.26649
T050,T090B,6259.20706
T050,T218B,5057.55247
T050,T218C,3992.88484
T050,T218A,4971.39382
T050,T200B,32781.10041
T050,T206,23826.20013
T050,T200,28993.81191
T050,T138,23253.64188
T050,T115,28419.77999
T050,T107,23015.24667
T050,T215,29189.99450
T050,T212,29594.37986
T050,T209,23333.07043
