Date,Average of Temp (F),Max of Temp (F),Min of Temp (F),Average of RH (%),Average of Dewpt (F),Average of Wind Spd (mph),Sum of Precip (in),Location,Lat,Lon,Elev,Month,Day,Year,MaxT7,MaxT14,MaxT21,MinT7,MinT14,MinT21,AvgT7,AvgT14,AvgT21,AvgT28,Rain7,Rain10,Rain14,Rain17,Rain21,Rain24,Rain28,MaxR7,MaxR14,MaxR21,MaxR2d7,MaxR2d14,MaxR2d21,Rain7d7,Rain7d14,Ran7d21,Ran14d7,Rain14d14,Rain14d21,Rain21d7,Rain21d14,Rain21d21
5/16/2007,51.79166667,64,44,71.79166667,42.25,12.16666667,0.14,CHICAGO OHARE INTL AP,41.995,-87.9336,662,5,16,2007,90,90,NaN,44,42,NaN,65.08333333,62.75297619,NaN,NaN,0.51,0.51,0.51,NaN,NaN,NaN,NaN,0.38,0.38,NaN,0.38,0.38,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5/17/2007,51.875,62,43,50.625,32,11.25,0,CHICAGO OHARE INTL AP,41.995,-87.9336,662,5,17,2007,90,90,NaN,44,44,NaN,62.625,62.77678572,NaN,NaN,0.52,0.65,0.65,NaN,NaN,NaN,NaN,0.38,0.38,NaN,0.52,0.52,NaN,0.13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5/18/2007,59.625,71,43,35.16666667,29.875,7.5,0,CHICAGO OHARE INTL AP,41.995,-87.9336,662,5,18,2007,90,90,NaN,43,43,NaN,59.86904762,62.4702381,NaN,NaN,0.52,0.65,0.65,0.65,NaN,NaN,NaN,0.38,0.38,NaN,0.52,0.52,NaN,0.13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5/19/2007,69.125,80,56,33.20833333,38.375,11.33333333,0,CHICAGO OHARE INTL AP,41.995,-87.9336,662,5,19,2007,90,90,NaN,43,43,NaN,59.82142857,62.51190476,NaN,NaN,0.52,0.65,0.65,0.65,NaN,NaN,NaN,0.38,0.38,NaN,0.52,0.52,NaN,0.13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5/20/2007,47.29166667,55,43,77.25,40.66666667,10.625,0.07,CHICAGO OHARE INTL AP,41.995,-87.9336,662,5,20,2007,90,90,NaN,43,43,NaN,61.97619048,63.1875,NaN,NaN,0.52,0.52,0.65,0.65,NaN,NaN,NaN,0.38,0.38,NaN,0.52,0.52,NaN,0.13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5/21/2007,63.25,80,44,62.375,49.5,8.25,0,CHICAGO OHARE INTL AP,41.995,-87.9336,662,5,21,2007,90,90,NaN,43,43,NaN,60.50595238,62.39583333,NaN,NaN,0.59,0.59,0.72,0.72,NaN,NaN,NaN,0.38,0.38,NaN,0.52,0.52,NaN,0.13,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5/22/2007,73.04166667,87,55,40.875,46.125,10.16666667,0,CHICAGO OHARE INTL AP,41.995,-87.9336,662,5,22,2007,80,90,90,43,43,42,58.74404762,62.09226191,61.18849206,NaN,0.59,0.59,0.72,0.72,0.72,NaN,NaN,0.38,0.38,0.38,0.52,0.52,NaN,0.13,0,NaN,0.13,NaN,NaN,NaN,NaN,NaN
5/23/2007,76.625,88,61,39.91666667,49.375,11.70833333,0,CHICAGO OHARE INTL AP,41.995,-87.9336,662,5,23,2007,87,90,90,43,43,42,59.42857143,62.25595238,61.64484127,NaN,0.21,0.59,0.72,0.72,0.72,NaN,NaN,0.14,0.38,0.38,0.52,0.52,0.52,0.51,0,NaN,0.51,NaN,NaN,NaN,NaN,NaN
5/24/2007,76.41666667,87,63,48.5,53.83333333,17.20833333,0.02,CHICAGO OHARE INTL AP,41.995,-87.9336,662,5,24,2007,88,90,90,43,43,43,62.97619048,62.80059524,62.84325397,NaN,0.07,0.59,0.59,0.72,0.72,NaN,NaN,0.07,0.38,0.38,0.14,0.52,0.52,0.52,0.13,NaN,0.65,NaN,NaN,NaN,NaN,NaN
5/25/2007,61.45833333,69,57,53.20833333,43.95833333,8.708333333,0,CHICAGO OHARE INTL AP,41.995,-87.9336,662,5,25,2007,88,90,90,43,43,43,66.48214286,63.17559524,63.80753968,NaN,0.09,0.61,0.61,0.74,0.74,0.74,NaN,0.07,0.38,0.38,0.07,0.52,0.52,0.52,0.13,NaN,0.65,NaN,NaN,NaN,NaN,NaN
5/26/2007,58.20833333,65,49,85.45833333,53.79166667,7.25,1.01,CHICAGO OHARE INTL AP,41.995,-87.9336,662,5,26,2007,88,90,90,43,43,43,66.74404762,63.2827381,63.92261905,NaN,0.09,0.23,0.61,0.74,0.74,0.74,NaN,0.07,0.38,0.38,0.07,0.52,0.52,0.52,0.13,NaN,0.65,NaN,NaN,NaN,NaN,NaN
5/27/2007,66.16666667,74,59,56.125,48.25,9.375,0.04,CHICAGO OHARE INTL AP,41.995,-87.9336,662,5,27,2007,88,90,90,43,43,43,65.18452381,63.58035714,63.8531746,NaN,1.1,1.1,1.62,1.62,1.75,1.75,NaN,1.01,1.01,1.01,1.01,1.01,1.01,0.52,0.13,NaN,0.65,NaN,NaN,NaN,NaN,NaN
5/28/2007,65.54166667,77,52,52.08333333,46.25,5.333333333,0,CHICAGO OHARE INTL AP,41.995,-87.9336,662,5,28,2007,88,90,90,44,43,43,67.88095238,64.19345238,64.22420635,NaN,1.07,1.14,1.66,1.66,1.79,1.79,NaN,1.01,1.01,1.01,1.05,1.05,1.05,0.59,0.13,NaN,0.72,NaN,NaN,NaN,NaN,NaN
5/29/2007,75.41666667,87,60,57.70833333,58.58333333,6.416666667,0,CHICAGO OHARE INTL AP,41.995,-87.9336,662,5,29,2007,88,88,90,49,43,43,68.20833333,63.47619048,64.13095238,62.94345238,1.07,1.14,1.66,1.66,1.79,1.79,1.79,1.01,1.01,1.01,1.05,1.05,1.05,0.59,0.13,0,0.72,0.13,NaN,0.72,NaN,NaN
5/30/2007,77.58333333,86,67,53.58333333,58.41666667,10.625,0,CHICAGO OHARE INTL AP,41.995,-87.9336,662,5,30,2007,88,88,90,49,43,43,68.54761905,63.98809524,64.3531746,63.37053572,1.07,1.14,1.28,1.66,1.79,1.79,1.79,1.01,1.01,1.01,1.05,1.05,1.05,0.21,0.51,0,0.72,0.51,NaN,0.72,NaN,NaN
5/31/2007,71.70833333,77,65,70.04166667,61.20833333,9.791666667,0.01,CHICAGO OHARE INTL AP,41.995,-87.9336,662,5,31,2007,87,88,90,49,43,43,68.68452381,65.83035714,64.76190476,64.30357143,1.07,1.07,1.14,1.66,1.66,1.79,1.79,1.01,1.01,1.01,1.05,1.05,1.05,0.07,0.52,0.13,0.59,0.65,NaN,0.72,NaN,NaN
6/1/2007,72.08333333,85,64,73.41666667,62.29166667,6.041666667,0.19,CHICAGO OHARE INTL AP,41.995,-87.9336,662,6,1,2007,87,88,90,49,43,43,68.01190476,67.24702381,64.78769841,64.85863095,1.06,1.08,1.15,1.67,1.67,1.8,1.8,1.01,1.01,1.01,1.05,1.05,1.05,0.09,0.52,0.13,0.61,0.65,NaN,0.74,NaN,NaN
6/2/2007,73.20833333,80,65,71.5,63.08333333,7.5,0.04,CHICAGO OHARE INTL AP,41.995,-87.9336,662,6,2,2007,87,88,90,49,43,43,69.5297619,68.13690476,65.36507937,65.32440476,1.25,1.27,1.34,1.48,1.86,1.99,1.99,1.01,1.01,1.01,1.05,1.05,1.05,0.09,0.52,0.13,0.61,0.65,NaN,0.74,NaN,NaN
6/3/2007,69.41666667,76,63,71.79166667,59.58333333,6.708333333,0.01,CHICAGO OHARE INTL AP,41.995,-87.9336,662,6,3,2007,87,88,90,52,43,43,71.67261905,68.42857143,66.27777778,65.80803571,0.28,1.31,1.38,1.38,1.9,1.9,2.03,0.19,1.01,1.01,1.05,1.05,1.05,1.1,0.52,0.13,1.62,0.65,NaN,1.75,NaN,NaN
6/4/2007,63.16666667,69,59,81.29166667,57.41666667,9.708333333,0.39,CHICAGO OHARE INTL AP,41.995,-87.9336,662,6,4,2007,87,88,90,52,44,43,72.13690476,70.00892857,66.84126984,66.20238095,0.25,1.3,1.32,1.39,1.91,1.91,2.04,0.19,1.01,1.01,0.23,1.05,1.05,1.07,0.59,0.13,1.66,0.72,NaN,1.79,NaN,NaN
6/5/2007,55.54166667,64,49,73.66666667,47.25,7.625,0.42,CHICAGO OHARE INTL AP,41.995,-87.9336,662,6,5,2007,87,88,88,59,49,43,71.79761905,70.00297619,66.25,66.04761905,0.64,1.69,1.71,1.78,2.3,2.3,2.43,0.39,1.01,1.01,0.4,1.05,1.05,1.07,0.59,0.13,1.66,0.72,0.13,1.79,0.72,NaN
6/6/2007,62.83333333,71,45,59.125,47.41666667,11.29166667,0.01,CHICAGO OHARE INTL AP,41.995,-87.9336,662,6,6,2007,86,88,88,49,49,43,68.95833333,68.75297619,65.64484127,65.50446429,1.06,1.1,2.13,2.2,2.34,2.72,2.85,0.42,1.01,1.01,0.81,1.05,1.05,1.07,0.21,0.51,1.28,0.72,0.51,1.79,0.72,NaN
6/7/2007,81.75,90,71,53.45833333,63,23.125,0,CHICAGO OHARE INTL AP,41.995,-87.9336,662,6,7,2007,85,87,88,45,45,43,66.85119048,67.76785714,66.17063492,65.28422619,1.07,1.07,2.14,2.14,2.21,2.73,2.73,0.42,1.01,1.01,0.81,1.05,1.05,1.07,0.07,0.52,1.14,0.59,0.65,1.66,0.72,NaN
6/8/2007,71.04166667,80,58,54.25,53.45833333,13.875,0,CHICAGO OHARE INTL AP,41.995,-87.9336,662,6,8,2007,90,90,90,45,45,43,68.28571429,68.14880952,67.59325397,65.66220238,1.06,1.07,2.12,2.14,2.21,2.73,2.73,0.42,1.01,1.01,0.81,1.05,1.05,1.06,0.09,0.52,1.15,0.61,0.65,1.67,0.74,NaN
6/9/2007,67.08333333,78,52,50.54166667,46.70833333,5.041666667,0,CHICAGO OHARE INTL AP,41.995,-87.9336,662,6,9,2007,90,90,90,45,45,43,68.13690476,68.83333333,68.13690476,66.05803571,0.87,1.07,2.12,2.14,2.21,2.35,2.73,0.42,1.01,1.01,0.81,1.05,1.05,1.25,0.09,0.52,1.34,0.61,0.65,1.86,0.74,NaN
6/10/2007,70.83333333,80,57,51.29166667,50.875,5.541666667,0,CHICAGO OHARE INTL AP,41.995,-87.9336,662,6,10,2007,90,90,90,45,45,43,67.26190476,69.46726191,68.03968254,66.52380952,0.83,1.07,1.11,2.14,2.21,2.21,2.73,0.42,0.42,1.01,0.81,1.05,1.05,0.28,1.1,0.52,1.38,1.62,0.65,1.9,1.75,NaN
6/11/2007,74.29166667,86,61,47.70833333,51.79166667,6.916666667,0,CHICAGO OHARE INTL AP,41.995,-87.9336,662,6,11,2007,90,90,90,45,45,44,67.46428571,69.80059524,69.16071429,66.99702381,0.82,1.06,1.07,2.12,2.14,2.21,2.73,0.42,0.42,1.01,0.81,0.81,1.05,0.25,1.07,0.59,1.32,1.66,0.72,1.91,1.79,NaN
6/12/2007,73.5,82,64,45.875,50.41666667,8.833333333,0,CHICAGO OHARE INTL AP,41.995,-87.9336,662,6,12,2007,90,90,90,45,45,45,69.05357143,70.42559524,69.68650794,66.95089286,0.43,0.87,1.07,2.12,2.14,2.21,2.73,0.42,0.42,1.01,0.81,0.81,1.05,0.64,1.07,0.59,1.71,1.66,0.72,2.3,1.79,0.72
6/13/2007,74.83333333,86,62,49.41666667,53.33333333,8.5,0,CHICAGO OHARE INTL AP,41.995,-87.9336,662,6,13,2007,90,90,90,45,45,45,71.61904762,70.28869048,69.70833333,67.13839286,0.01,0.83,1.07,1.11,2.14,2.21,2.35,0.01,0.42,1.01,0.43,0.81,1.05,1.06,1.07,0.21,2.13,1.28,0.72,2.34,1.79,0.72
6/14/2007,76.66666667,89,64,50.125,55.45833333,6.791666667,0,CHICAGO OHARE INTL AP,41.995,-87.9336,662,6,14,2007,90,90,90,52,45,45,73.33333333,70.0922619,69.62301587,67.96130952,0,0.82,1.07,1.07,2.14,2.14,2.21,0,0.42,1.01,0.01,0.81,1.05,1.07,1.07,0.07,2.14,1.14,0.59,2.21,1.66,0.72
6/15/2007,78.54166667,91,63,48.04166667,55.625,4.833333333,0,CHICAGO OHARE INTL AP,41.995,-87.9336,662,6,15,2007,89,90,90,52,45,45,72.60714286,70.44642857,69.63492063,68.84672619,0,0.43,1.06,1.07,2.12,2.14,2.21,0,0.42,1.01,0,0.81,1.05,1.06,1.06,0.09,2.12,1.15,0.61,2.21,1.67,0.74
6/16/2007,80.95833333,92,66,49.75,59.625,5.708333333,0,CHICAGO OHARE INTL AP,41.995,-87.9336,662,6,16,2007,91,91,91,52,45,45,73.67857143,70.9077381,70.4484127,69.52232143,0,0.01,0.87,1.07,2.12,2.14,2.21,0,0.42,1.01,0,0.81,1.05,0.87,1.25,0.09,2.12,1.34,0.61,2.21,1.86,0.74
6/17/2007,80.79166667,89,71,58.29166667,64.25,6.291666667,0,CHICAGO OHARE INTL AP,41.995,-87.9336,662,6,17,2007,92,92,92,57,45,45,75.66071429,71.46130952,71.53174603,69.94494048,0,0,0.83,1.07,1.11,2.14,2.21,0,0.42,0.42,0,0.81,1.05,0.83,0.28,1.1,1.11,1.38,1.62,2.21,1.9,1.75
6/18/2007,78.04166667,88,74,65.125,64.95833333,14.625,0.28,CHICAGO OHARE INTL AP,41.995,-87.9336,662,6,18,2007,92,92,92,61,45,45,77.08333333,72.27380952,72.2281746,71.14136905,0,0,0.82,1.06,1.07,2.12,2.14,0,0.42,0.42,0,0.81,0.81,0.82,0.25,1.07,1.07,1.32,1.66,2.14,1.91,1.79
6/19/2007,73,79,65,56.625,55.125,11.45833333,0.58,CHICAGO OHARE INTL AP,41.995,-87.9336,662,6,19,2007,92,92,92,62,45,45,77.61904762,73.33630952,72.8234127,71.66964286,0.28,0.28,0.71,1.15,1.35,2.4,2.42,0.28,0.42,0.42,0.28,0.81,0.81,0.43,0.64,1.07,1.07,1.71,1.66,2.14,2.3,1.79
6/20/2007,74.08333333,83,62,45.41666667,50.875,8.708333333,0,CHICAGO OHARE INTL AP,41.995,-87.9336,662,6,20,2007,92,92,92,62,45,45,77.54761905,74.58333333,72.70833333,71.66815476,0.86,0.86,0.87,1.69,1.93,1.97,3,0.58,0.58,0.58,0.86,0.86,0.86,0.01,1.06,1.07,1.07,2.13,1.28,2.14,2.34,1.79
6/21/2007,71.33333333,76,61,49.75,51.25,10.625,0.01,CHICAGO OHARE INTL AP,41.995,-87.9336,662,6,21,2007,92,92,92,62,52,45,77.44047619,75.38690476,72.54166667,71.57738095,0.86,0.86,0.86,1.68,1.93,1.93,3,0.58,0.58,0.58,0.86,0.86,0.86,0,1.07,1.07,1.07,2.14,1.14,2.14,2.21,1.66
6/22/2007,67.79166667,74,61,53.33333333,49.54166667,8.666666667,0,CHICAGO OHARE INTL AP,41.995,-87.9336,662,6,22,2007,92,92,92,61,52,45,76.67857143,74.64285714,72.52380952,71.39583333,0.87,0.87,0.87,1.3,1.93,1.94,2.99,0.58,0.58,0.58,0.86,0.86,0.86,0,1.06,1.06,1.06,2.12,1.15,2.12,2.21,1.67
6/23/2007,64.75,67,63,79.08333333,58.20833333,8.791666667,0.05,CHICAGO OHARE INTL AP,41.995,-87.9336,662,6,23,2007,92,92,92,61,52,45,75.14285714,74.41071429,72.31944444,71.62202381,0.87,0.87,0.87,0.88,1.74,1.94,2.99,0.58,0.58,0.58,0.86,0.86,0.86,0,0.87,1.25,0.87,2.12,1.34,2.12,2.21,1.86
6/24/2007,70,77,65,75.79166667,61.95833333,7.958333333,0,CHICAGO OHARE INTL AP,41.995,-87.9336,662,6,24,2007,89,92,92,61,57,45,72.82738095,74.24404762,71.91666667,71.85565476,0.92,0.92,0.92,0.92,1.75,1.99,2.03,0.58,0.58,0.58,0.86,0.86,0.86,0,0.83,0.28,0.83,1.11,1.38,1.11,2.21,1.9
6/25/2007,76.95833333,87,66,71.16666667,66.33333333,6.75,0,CHICAGO OHARE INTL AP,41.995,-87.9336,662,6,25,2007,88,92,92,61,61,45,71.28571429,74.18452381,71.94444444,71.99255952,0.92,0.92,0.92,0.92,1.74,1.98,1.99,0.58,0.58,0.58,0.86,0.86,0.86,0,0.82,0.25,0.82,1.07,1.32,1.07,2.14,1.91
6/26/2007,78.29166667,91,70,74.66666667,69.29166667,7.041666667,0.16,CHICAGO OHARE INTL AP,41.995,-87.9336,662,6,26,2007,87,92,92,61,61,45,71.13095238,74.375,72.60119048,72.40029762,0.64,0.92,0.92,0.92,1.35,1.79,1.99,0.58,0.58,0.58,0.86,0.86,0.86,0.28,0.43,0.64,0.71,1.07,1.71,1.35,2.14,2.3
6/27/2007,77.125,90,71,78.83333333,69.79166667,8.833333333,0.15,CHICAGO OHARE INTL AP,41.995,-87.9336,662,6,27,2007,91,92,92,61,61,45,71.88690476,74.71726191,73.68452381,72.50297619,0.22,1.08,1.08,1.08,1.09,1.91,2.15,0.16,0.58,0.58,0.58,0.86,0.86,0.86,0.01,1.06,0.87,1.07,2.13,1.93,2.14,2.34
6/28/2007,66.79166667,74,58,65.04166667,54.70833333,12.54166667,0,CHICAGO OHARE INTL AP,41.995,-87.9336,662,6,28,2007,91,92,92,61,61,52,72.32142857,74.88095238,74.36507937,72.48660714,0.37,1.23,1.23,1.23,1.23,2.05,2.3,0.16,0.58,0.58,0.31,0.86,0.86,0.86,0,1.07,0.86,1.07,2.14,1.93,2.14,2.21
6/29/2007,62.91666667,70,56,74.29166667,54.70833333,8.25,0,CHICAGO OHARE INTL AP,41.995,-87.9336,662,6,29,2007,91,92,92,58,58,52,71.67261905,74.17559524,73.65277778,72.31101191,0.36,0.95,1.23,1.23,1.23,1.66,2.29,0.16,0.58,0.58,0.31,0.86,0.86,0.87,0,1.06,0.87,1.06,2.12,1.93,2.12,2.21
6/30/2007,67.79166667,78,56,50.5,46.33333333,5.958333333,0,CHICAGO OHARE INTL AP,41.995,-87.9336,662,6,30,2007,91,92,92,56,56,52,70.97619048,73.05952381,73.26587302,71.98363095,0.36,0.37,1.23,1.23,1.23,1.24,2.1,0.16,0.58,0.58,0.31,0.86,0.86,0.87,0,0.87,0.87,0.87,2.12,1.74,2.12,2.21
7/1/2007,66.29166667,74,55,61.125,51.70833333,8.5,0,CHICAGO OHARE INTL AP,41.995,-87.9336,662,7,1,2007,91,91,92,56,56,56,71.41071429,72.11904762,73.29960318,71.79017857,0.31,0.37,1.23,1.23,1.23,1.23,2.06,0.16,0.58,0.58,0.31,0.86,0.86,0.92,0,0.83,0.92,0.83,1.11,1.75,1.11,2.21
7/2/2007,68.33333333,78,53,52.83333333,49.375,8.041666667,0,CHICAGO OHARE INTL AP,41.995,-87.9336,662,7,2,2007,91,91,92,55,55,55,70.88095238,71.08333333,73.08333333,71.67857143,0.31,0.36,1.23,1.23,1.23,1.23,2.05,0.16,0.58,0.58,0.31,0.86,0.86,0.92,0,0.82,0.92,0.82,1.07,1.74,1.07,2.14
7/3/2007,73.375,83,62,57.20833333,56.75,7.291666667,0.4,CHICAGO OHARE INTL AP,41.995,-87.9336,662,7,3,2007,91,91,92,53,53,53,69.64880953,70.38988095,72.79960318,71.86309524,0.31,0.36,0.95,1.23,1.23,1.23,1.66,0.16,0.58,0.58,0.31,0.86,0.86,0.64,0.28,0.43,0.92,0.71,1.07,1.35,1.35,2.14
7/4/2007,75.41666667,84,68,73.29166667,66,8.166666667,0.16,CHICAGO OHARE INTL AP,41.995,-87.9336,662,7,4,2007,90,91,92,53,53,53,68.94642857,70.41666667,72.79365079,72.5,0.55,0.71,0.77,1.63,1.63,1.63,1.64,0.4,0.4,0.58,0.4,0.58,0.86,0.22,0.86,0.01,1.08,0.87,1.07,1.09,1.93,2.14
7/5/2007,79.29166667,88,71,53.54166667,59.83333333,8.166666667,0,CHICAGO OHARE INTL AP,41.995,-87.9336,662,7,5,2007,84,91,92,53,53,53,68.70238095,70.51190476,72.82142857,72.94940476,0.56,0.87,0.93,1.79,1.79,1.79,1.79,0.4,0.4,0.58,0.56,0.56,0.86,0.37,0.86,0,1.23,0.86,1.07,1.23,1.93,2.14
7/6/2007,75.91666667,86,68,53.375,56.95833333,5.458333333,0,CHICAGO OHARE INTL AP,41.995,-87.9336,662,7,6,2007,88,91,92,53,53,53,70.48809524,71.08035714,72.94642857,72.86160714,0.56,0.87,0.92,1.51,1.79,1.79,1.79,0.4,0.4,0.58,0.56,0.56,0.86,0.36,0.87,0,1.23,0.87,1.06,1.23,1.93,2.12
7/7/2007,79.70833333,89,65,56.95833333,62.625,8.5,0,CHICAGO OHARE INTL AP,41.995,-87.9336,662,7,7,2007,88,91,92,53,53,53,72.3452381,71.66071429,72.82142857,73.03571429,0.56,0.71,0.92,0.93,1.79,1.79,1.79,0.4,0.4,0.58,0.56,0.56,0.86,0.36,0.87,0,1.23,0.87,0.87,1.23,1.74,2.12
7/8/2007,84.25,93,75,57.91666667,67.45833333,13.08333333,0,CHICAGO OHARE INTL AP,41.995,-87.9336,662,7,8,2007,89,91,91,53,53,53,74.04761905,72.72916667,72.76190476,73.48660714,0.56,0.56,0.87,0.93,1.79,1.79,1.79,0.4,0.4,0.58,0.56,0.56,0.86,0.31,0.92,0,1.23,0.92,0.83,1.23,1.75,1.11
